voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83493041992188;-0.002617480466142297,-0.000002969157776533393,-1.8356024611421162e-7,-0.0006293267942965031;-1.92502702667241e-9,-0.028963111340999603,-0.026032041758298874,0.09511302411556244;-0.017268655821681023,-0.019500557333230972,-0.0000018583805285743438,0.00007411739352392033;-0.0001167998998425901,0,0,0
;-87.83494567871094;-0.002617472782731056,-0.00000296945881927968,-1.835602176925022e-7,-0.0006293191108852625;-1.9250170346651885e-9,-0.028965823352336884,-0.026029931381344795,0.09511297196149826;-0.01726865954697132,-0.01950056105852127,-0.000001858551513578277,0.00007411508704535663;-0.00011680140596581623,0,0,0
;-87.8349609375;-0.0026174671947956085,-0.0000029697596346522914,-1.8356010400566447e-7,-0.0006293115438893437;-1.925006820613362e-9,-0.028968535363674164,-0.026027845218777657,0.09511290490627289;-0.01726866140961647,-0.01950056478381157,-0.0000018587212480269955,0.00007411278784275055;-0.00011680299940053374,0,0,0
;-87.83497619628906;-0.002617462771013379,-0.0000029700602226512274,-1.835599476862626e-7,-0.0006293037440627813;-1.9249966065615354e-9,-0.028971247375011444,-0.026025716215372086,0.0951128825545311;-0.01726866140961647,-0.01950056664645672,-0.000001858892574091442,0.00007411048136418685;-0.00011680458555929363,0,0,0
;-87.83499145507812;-0.002617455553263426,-0.000002970360583276488,-1.8355979136686074e-7,-0.0006292961188592017;-1.924986392509709e-9,-0.028973961248993874,-0.026023630052804947,0.09511285275220871;-0.01726866513490677,-0.019500570371747017,-0.0000018590633317216998,0.00007410818943753839;-0.00011680609895847738,0,0,0
;-87.83500671386719;-0.00261744880117476,-0.0000029706604891543975,-1.8355959241489472e-7,-0.0006292883772403002;-1.9249761784578823e-9,-0.028976675122976303,-0.02602149173617363,0.09511277824640274;-0.017268666997551918,-0.019500575959682465,-0.0000018592343167256331,0.00007410587568301708;-0.00011680768511723727,0,0,0
;-87.83502197265625;-0.0026174443773925304,-0.000002970960849779658,-1.835593934629287e-7,-0.0006292806938290596;-1.9249659644060557e-9,-0.028979385271668434,-0.026019416749477386,0.09511274844408035;-0.017268670722842216,-0.019500577822327614,-0.0000018594041648611892,0.00007410359103232622;-0.0001168091912404634,0,0,0
;-87.83504486083984;-0.0026174334343522787,-0.000002971398316731211,-1.8355913766754384e-7,-0.0006293020560406148;-1.9249575267110686e-9,-0.028983453288674355,-0.026017289608716965,0.09511270374059677;-0.017268674448132515,-0.01950058341026306,-0.0000018596601876197383,0.00007410129182972014;-0.00011681063188007101,0,0,0
;-87.83506774902344;-0.0026174227241426706,-0.0000029718357836827636,-1.835588250287401e-7,-0.000629323476459831;-1.9249488669714765e-9,-0.028987525030970573,-0.026015207171440125,0.0951126366853714;-0.017268680036067963,-0.01950058713555336,-0.0000018599174609335023,0.00007409899990307167;-0.00011681197793222964,0,0,0
;-87.8350830078125;-0.002617415739223361,-0.000002972135689560673,-1.8355849817908165e-7,-0.0006293155602179468;-1.92493865291965e-9,-0.028990237042307854,-0.026013106107711792,0.0951126217842102;-0.017268681898713112,-0.019500592723488808,-0.0000018600871953822207,0.0000740967079764232;-0.0001168135495390743,0,0,0
;-87.83509826660156;-0.002617408987134695,-0.0000029724349133175565,-1.8355814290771377e-7,-0.0006293078185990453;-1.9249286609124283e-9,-0.028992949053645134,-0.026010992005467415,0.09511258453130722;-0.017268681898713112,-0.019500596448779106,-0.000001860258180386154,0.00007409442332573235;-0.00011681511386996135,0,0,0
