voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.64900207519531;-4.402003241921193e-7,-2.592256720390651e-8,0.00007558186916867271,-0.01945965737104416;2.866412940338847e-10,-0.000003798453008130309,0.0000595182973484043,0.0037679080851376057;1.9008648166618514e-7,0.0764448344707489,-0.01723497547209263,-0.0026835273019969463;-0.04068233072757721,0.0000012193966085760621,-0.00011110462219221517,0.00028449526871554554
;-87.6490249633789;-4.402006936743419e-7,-2.5922586743831744e-8,0.00007557881326647475,-0.019459659233689308;2.866412940338847e-10,-0.0000037982858884788584,0.00005945884549873881,0.0037644628901034594;1.8991234185250505e-7,0.07644481956958771,-0.017234977334737778,-0.002683524740859866;-0.04067813605070114,0.0000012182890714029782,-0.0001111077654059045,0.0002851650642696768
;-87.64904022216797;-4.4020111999998335e-7,-2.5922609836470656e-8,0.0000755757573642768,-0.019459664821624756;2.8664132178946033e-10,-0.000003798121497311513,0.00005937215610174462,0.0037592940498143435;1.896511037102755e-7,0.07644481211900711,-0.017234982922673225,-0.0026835172902792692;-0.04067394137382507,0.0000012166229907961679,-0.00011111080675618723,0.00028408976504579186
;-87.64906311035156;-4.402014610604965e-7,-2.592262937639589e-8,0.00007557270873803645,-0.019459666684269905;2.866414050561872e-10,-0.0000037979546050337376,0.000059312722441973165,0.003755848854780197;1.8947685020975769e-7,0.07644478231668472,-0.017234982922673225,-0.002683512168005109;-0.040669724345207214,0.0000012155153399362462,-0.00011111394269391894,0.00028477259911596775
;-87.64907836914062;-4.402019158078474e-7,-2.59226524690348e-8,0.0000755696528358385,-0.019459674134850502;2.8664137730061157e-10,-0.000003797790668613743,0.000059226073062745854,0.0037506804801523685;1.8921572575436585e-7,0.07644473016262054,-0.017234988510608673,-0.002683504717424512;-0.04066545516252518,0.000001213849600389949,-0.00011111702769994736,0.00028372553060762584
;-87.64909362792969;-4.402023137117794e-7,-2.5922679114387392e-8,0.00007556660420959815,-0.01945967599749565;2.866414605673384e-10,-0.0000037976237763359677,0.000059166653954889625,0.0037472352851182222;1.8904160015154048e-7,0.07644475251436234,-0.017234990373253822,-0.002683499129489064;-0.0406612828373909,0.0000012127418358431896,-0.00011112014180980623,0.00028441022732295096
;-87.64911651611328;-4.402027400374209e-7,-2.5922700430669465e-8,0.00007556355558335781,-0.0194596815854311;2.866415993452165e-10,-0.0000037974573388055433,0.000059107260312885046,0.003743789391592145;1.8886748875956982e-7,0.07644474506378174,-0.01723499409854412,-0.0026834949385374784;-0.04065700247883797,0.000001211634184983268,-0.00011112333595519885,0.00028517344617284834
;-87.64913177490234;-4.4020308109793405e-7,-2.5922725299665217e-8,0.00007556049968115985,-0.0194596815854311;2.866416548563677e-10,-0.000003797294084506575,0.00005902063276153058,0.0037386217154562473;1.886060942979384e-7,0.07644473761320114,-0.01723499782383442,-0.002683486556634307;-0.04065284505486488,0.0000012099681043764576,-0.0001111263336497359,0.0002840637171175331
;-87.64915466308594;-4.402034221584472e-7,-2.592274661594729e-8,0.00007555745833087713,-0.019459685310721397;2.866416271007921e-10,-0.000003797127419602475,0.00005896124639548361,0.00373517582193017;1.8843196869511303e-7,0.07644473016262054,-0.01723499968647957,-0.0026834842283278704;-0.04064860939979553,0.0000012088602261428605,-0.0001111295132432133,0.0002847856958396733
;-87.649169921875;-4.402038769057981e-7,-2.592277503765672e-8,0.00007555440242867917,-0.019459690898656845;2.8664173812309457e-10,-0.0000037969639379298314,0.00005887466249987483,0.003730007680132985;1.881708442397212e-7,0.07644470036029816,-0.017235005274415016,-0.002683476312085986;-0.040644410997629166,0.0000012071941455360502,-0.00011113253276562318,0.00028368644416332245
