voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83097839355469;-0.002619807841256261,-0.000002894726321756025,-1.8369607346357952e-7,-0.0006280659581534564;-1.9261332528941466e-9,-0.028260748833417892,-0.026083942502737045,0.09457489848136902;-0.01726803369820118,-0.01949968934059143,-0.0000018141562350137974,0.00007416690641548485;-0.00011644700134638697,0,0,0
;-87.83099365234375;-0.0026198006235063076,-0.000002895026000260259,-1.836958745116135e-7,-0.0006280597299337387;-1.926123260886925e-9,-0.028263462707400322,-0.026081856340169907,0.09457489848136902;-0.01726803556084633,-0.01949969306588173,-0.0000018143272200177307,0.00007416461448883638;-0.00011644869664451107,0,0,0
;-87.83101654052734;-0.0026197899132966995,-0.000002895463012464461,-1.8369561871622864e-7,-0.0006280833622440696;-1.926114379102728e-9,-0.028267526999115944,-0.026079759001731873,0.09457478672266006;-0.017268039286136627,-0.019499696791172028,-0.0000018145822195947403,0.00007416232983814552;-0.00011645033373497427,0,0,0
;-87.83103942871094;-0.002619778737425804,-0.000002895899569921312,-1.8369536292084376e-7,-0.0006281067035160959;-1.926105941407741e-9,-0.028271593153476715,-0.02607765980064869,0.0945746973156929;-0.017268043011426926,-0.019499704241752625,-0.0000018148393792216666,0.00007416004518745467;-0.0001164518907899037,0,0,0
;-87.8310546875;-0.0026197752449661493,-0.0000028961990210518707,-1.836950218603306e-7,-0.000628100533504039;-1.926095949400519e-9,-0.028274303302168846,-0.02607554942369461,0.09457466006278992;-0.017268048599362373,-0.019499706104397774,-0.0000018150104779124376,0.0000741577532608062;-0.00011645367339951918,0,0,0
;-87.83106994628906;-0.0026197684928774834,-0.0000028964980174350785,-1.8369468079981743e-7,-0.0006280941888689995;-1.9260859573932976e-9,-0.028277015313506126,-0.026073437184095383,0.09457463026046753;-0.017268050462007523,-0.019499707967042923,-0.0000018151804397348315,0.00007415548316203058;-0.00011645535414572805,0,0,0
;-87.83108520507812;-0.0026197622064501047,-0.0000028967974685656372,-1.8369438237186841e-7,-0.0006280879606492817;-1.926075743341471e-9,-0.028279727324843407,-0.02607138082385063,0.09457457065582275;-0.01726805418729782,-0.01949971355497837,-0.0000018153514247387648,0.00007415319851133972;-0.00011645715130725875,0,0,0
;-87.83110046386719;-0.0026197589468210936,-0.0000028970966923225205,-1.8369402710050053e-7,-0.0006280816160142422;-1.9260655292896445e-9,-0.028282439336180687,-0.02606925182044506,0.09457452595233917;-0.01726805418729782,-0.01949971541762352,-0.0000018155226371163735,0.00007415091386064887;-0.0001164588684332557,0,0,0
;-87.83111572265625;-0.0026197514962404966,-0.000002897395461332053,-1.836937144616968e-7,-0.0006280755042098463;-1.9260557593270278e-9,-0.028285149484872818,-0.026067180559039116,0.09457449615001678;-0.01726805791258812,-0.019499721005558968,-0.0000018156938494939823,0.00007414863648591563;-0.00011646062921499833,0,0,0
;-87.83113098144531;-0.0026197454426437616,-0.0000028976946850889362,-1.8369338761203835e-7,-0.0006280691013671458;-1.9260455452752012e-9,-0.0282878614962101,-0.026065075770020485,0.0945744588971138;-0.01726805977523327,-0.019499722868204117,-0.0000018158635839427006,0.00007414635911118239;-0.00011646241910057142,0,0,0
;-87.83114624023438;-0.002619741251692176,-0.000002897994136219495,-1.836930607623799e-7,-0.000628062873147428;-1.9260355532679796e-9,-0.02829057350754738,-0.026062985882163048,0.09457442909479141;-0.017268063500523567,-0.019499724730849266,-0.0000018160346826334717,0.00007414408173644915;-0.00011646411439869553,0,0,0
;-87.83116149902344;-0.00261973449960351,-0.0000028982929052290274,-1.8369273391272145e-7,-0.0006280565285123885;-1.926025339216153e-9,-0.02829328365623951,-0.026060886681079865,0.09457434713840485;-0.017268065363168716,-0.019499730318784714,-0.0000018162057813242427,0.0000741417970857583;-0.00011646588973235339,0,0,0
;-87.8311767578125;-0.0026197282131761312,-0.00000289859167423856,-1.8369239285220829e-7,-0.0006280503585003316;-1.9260153472089314e-9,-0.02829599566757679,-0.02605881169438362,0.09457433968782425;-0.017268067225813866,-0.019499732181429863,-0.0000018163769937018515,0.00007413951971102506;-0.00011646767234196886,0,0,0
;-87.8311996459961;-0.002619716804474592,-0.000002899028231695411,-1.8369208021340455e-7,-0.0006280737579800189;-1.9260066874693393e-9,-0.02830006182193756,-0.026056699454784393,0.09457428753376007;-0.017268072813749313,-0.01949973963201046,-0.0000018166317659051856,0.00007413724233629182;-0.00011646922212094069,0,0,0
;-87.83121490478516;-0.002619712147861719,-0.000002899327000704943,-1.836916538877631e-7,-0.0006280674133449793;-1.9259966954621177e-9,-0.02830277755856514,-0.026054637506604195,0.0945742279291153;-0.017268076539039612,-0.01949974149465561,-0.0000018168026372222812,0.00007413495040964335;-0.00011647099745459855,0,0,0
;-87.83121490478516;-0.0026197165716439486,-0.00000289935110231454,-1.836912844055405e-7,-0.0006280016386881471;-1.9259833727858222e-9,-0.02830277755856514,-0.026052532717585564,0.09457419067621231;-0.017268076539039612,-0.01949974149465561,-0.0000018168026372222812,0.00007413267303491011;-0.00011647306382656097,0,0,0
;-87.83121490478516;-0.0026197205297648907,-0.0000028993758860451635,-1.8369104282101034e-7,-0.0006279358640313148;-1.9259707162433415e-9,-0.02830277755856514,-0.02605045773088932,0.09457413107156754;-0.017268076539039612,-0.01949974149465561,-0.0000018168026372222812,0.0000741304102120921;-0.00011647514475043863,0,0,0
;-87.83121490478516;-0.0026197247207164764,-0.0000028994008971494623,-1.8369087229075376e-7,-0.0006278701475821435;-1.925957837656256e-9,-0.02830277755856514,-0.026048341765999794,0.09457411617040634;-0.017268076539039612,-0.01949974149465561,-0.0000018168026372222812,0.00007412813283735886;-0.00011647721839835867,0,0,0
;-87.83121490478516;-0.0026197286788374186,-0.000002899425908253761,-1.8369075860391604e-7,-0.0006278043147176504;-1.9259447370245653e-9,-0.02830277755856514,-0.026046283543109894,0.09457409381866455;-0.017268076539039612,-0.01949974149465561,-0.0000018168026372222812,0.00007412586273858324;-0.00011647927749436349,0,0,0
;-87.83122253417969;-0.0026197261177003384,-0.0000028995887078053784,-1.836907159713519e-7,-0.0006277683423832059;-1.925933412749714e-9,-0.028304127976298332,-0.026044199243187904,0.09457400441169739;-0.017268076539039612,-0.01949974149465561,-0.000001816888925532112,0.00007412359991576523;-0.00011648112558759749,0,0,0
