voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.62117767333984;-4.7044616735547606e-7,-2.6042894063493804e-8,0.00007797729631420225,-0.019453532993793488;2.882269700688056e-10,-0.000003890883363055764,0.00014683831250295043,0.00920079741626978;4.6569584810640663e-7,0.07434498518705368,-0.017230497673153877,-0.0027009265031665564;-0.044099461287260056,0.0000029730226742685772,-0.00011081340198870748,0.0002852319448720664
;-87.6211929321289;-4.7044682105479296e-7,-2.6042929590630592e-8,0.00007797456783009693,-0.019453536719083786;2.882271643578349e-10,-0.0000038907164707779884,0.00014677116996608675,0.009197364561259747;4.6552125354537566e-7,0.07434503734111786,-0.017230499535799026,-0.002700922079384327;-0.04409550502896309,0.0000029719317353738006,-0.00011081667616963387,0.00028573814779520035
;-87.6212158203125;-4.7044744633240043e-7,-2.60429615650537e-8,0.00007797183934599161,-0.019453538581728935;2.882274696691667e-10,-0.000003890548669005511,0.00014670396922156215,0.009193929843604565;4.653463747672504e-7,0.07434500753879547,-0.017230501398444176,-0.002700918121263385;-0.04409154877066612,0.000002970840796479024,-0.00011082000128226355,0.00028615863993763924
;-87.62123107910156;-4.704481568751362e-7,-2.604300064490417e-8,0.00007796912541380152,-0.019453546032309532;2.8822758069146914e-10,-0.0000038903835957171395,0.00014660933811683208,0.009188779629766941;4.650846676668152e-7,0.07434500753879547,-0.017230505123734474,-0.0027009095065295696;-0.044087570160627365,0.000002969193019453087,-0.00011082313721999526,0.0002848865697160363
;-87.62124633789062;-4.7044875373103423e-7,-2.60430290666136e-8,0.00007796638965373859,-0.01945354975759983;2.882277194693472e-10,-0.000003890216703439364,0.00014654222468379885,0.009185343980789185;4.6491007310578425e-7,0.07434499263763428,-0.017230506986379623,-0.002700907876715064;-0.04408363252878189,0.0000029681020805583103,-0.0001108264405047521,0.0002852943434845656
;-87.62126159667969;-4.704493790086417e-7,-2.6043066370107226e-8,0.0000779636757215485,-0.01945355348289013;2.882279970251034e-10,-0.000003890049811161589,0.00014647506759501994,0.009181910194456577;4.6473553538817214e-7,0.07434499263763428,-0.017230510711669922,-0.0027009022887796164;-0.044079627841711044,0.000002967010914289858,-0.00011082976561738178,0.00028579123318195343
;-87.62128448486328;-4.704500327079586e-7,-2.6043101897244014e-8,0.00007796096178935841,-0.019453557208180428;2.882282468252839e-10,-0.0000038898829188838135,0.0001464079541619867,0.00917847640812397;4.64560599766628e-7,0.07434497773647308,-0.01723051443696022,-0.002700899029150605;-0.04407573118805885,0.000002965919748021406,-0.00011083302524639294,0.000286165188299492
;-87.62129974365234;-4.704507716724038e-7,-2.6043146306165e-8,0.0000779582405812107,-0.019453560933470726;2.88228385603162e-10,-0.0000038897187550901435,0.0001463133521610871,0.009173325262963772;4.6429863687080797e-7,0.07434500008821487,-0.017230520024895668,-0.0027008906472474337;-0.044071801006793976,0.000002964272880490171,-0.00011083620483987033,0.00028486672090366483
;-87.6213150024414;-4.7045128326317354e-7,-2.604317295151759e-8,0.00007795552664902061,-0.019453566521406174;2.8822863540334254e-10,-0.000003889551862812368,0.0001462462532799691,0.009169891476631165;4.64124042309777e-7,0.07434495538473129,-0.017230521887540817,-0.002700887620449066;-0.04406784847378731,0.0000029631817142217187,-0.00011083944264100865,0.00028526707319542766
;-87.62133026123047;-4.704519938059093e-7,-2.604320670229754e-8,0.00007795281271683052,-0.019453568384051323;2.8822882969237185e-10,-0.000003889384970534593,0.0001461791543988511,0.009166457690298557;4.639492203750706e-7,0.07434500753879547,-0.017230521887540817,-0.002700883662328124;-0.04406389221549034,0.0000029620905479532667,-0.00011084278230555356,0.0002857714134734124
;-87.62135314941406;-4.704525622400979e-7,-2.6043244005791166e-8,0.00007795009150868282,-0.019453570246696472;2.8822902398140116e-10,-0.000003889217168762116,0.00014611207006964833,0.00916302390396595;4.637745973923302e-7,0.07434497028589249,-0.017230527475476265,-0.002700879704207182;-0.04405997693538666,0.0000029609993816848146,-0.00011084611469414085,0.00028614135226234794
;-87.62136840820312;-4.7045324436112423e-7,-2.6043277756571115e-8,0.00007794737757649273,-0.01945357769727707;2.88229107248128e-10,-0.0000038890539144631475,0.00014601752627640963,0.009157872758805752;4.635129755570233e-7,0.07434496283531189,-0.017230529338121414,-0.002700872253626585;-0.04405605047941208,0.000002959351377285202,-0.00011084923607995734,0.0002848077565431595
;-87.62138366699219;-4.7045381279531284e-7,-2.6043307954637385e-8,0.00007794464909238741,-0.01945357955992222;2.8822932929273293e-10,-0.000003888886567438021,0.00014595045649912208,0.00915443804115057;4.633383525742829e-7,0.07434495538473129,-0.017230534926056862,-0.0027008692268282175;-0.0440521165728569,0.0000029582604383904254,-0.00011085253936471418,0.00028522085631266236
;-87.62139892578125;-4.704544380729203e-7,-2.6043336376346815e-8,0.00007794194243615493,-0.019453585147857666;2.882294958261866e-10,-0.000003888720129907597,0.00014588344492949545,0.009151003323495388;4.6316350221786706e-7,0.0743449330329895,-0.017230534926056862,-0.0027008645702153444;-0.04404815658926964,0.000002957169044748298,-0.00011085579171776772,0.0002856565697584301
;-87.62142181396484;-4.7045514861565607e-7,-2.604337900891096e-8,0.00007793922850396484,-0.019453587010502815;2.882297733819428e-10,-0.00000388855232813512,0.00014581638970412314,0.009147570468485355;4.629889076568361e-7,0.0743449255824089,-0.01723053865134716,-0.0027008606120944023;-0.044044267386198044,0.000002956077878479846,-0.00011085910227848217,0.0002860268286895007
;-87.6214370727539;-4.704557454715541e-7,-2.6043416312404588e-8,0.00007793651457177475,-0.019453590735793114;2.882299676709721e-10,-0.000003888388619088801,0.00014572194777429104,0.009142418392002583;4.6272694476101606e-7,0.07434488832950592,-0.01723054237663746,-0.0027008517645299435;-0.0440402515232563,0.000002954430783574935,-0.00011086220911238343,0.00028476156876422465
;-87.62145233154297;-4.7045642759258044e-7,-2.6043448286827697e-8,0.00007793380063958466,-0.01945359632372856;2.882301619600014e-10,-0.000003888221726811025,0.0001456549798604101,0.009138984605669975;4.625520091394719e-7,0.07434490323066711,-0.017230544239282608,-0.0027008478064090014;-0.0440363846719265,0.0000029533393899328075,-0.00011086549056926742,0.00028513584402389824
;-87.62146759033203;-4.7045699602676905e-7,-2.6043480261250807e-8,0.0000779311012593098,-0.01945359818637371;2.882303007378795e-10,-0.000003888055289280601,0.00014558801194652915,0.009135550819337368;4.623774714218598e-7,0.07434491068124771,-0.017230547964572906,-0.0027008461765944958;-0.04403243586421013,0.00000295224799629068,-0.0001108687647501938,0.0002855768834706396
;-87.62149047851562;-4.704576781477954e-7,-2.6043515788387595e-8,0.00007792838732711971,-0.01945360377430916;2.882305227824844e-10,-0.000003887887942255475,0.00014552101492881775,0.009132116101682186;4.6220290528253827e-7,0.07434489578008652,-0.017230551689863205,-0.00270084198564291;-0.044028524309396744,0.0000029511566026485525,-0.00011087206803495064,0.00028596416814252734
;-87.62150573730469;-4.704583602688217e-7,-2.60435566445949e-8,0.00007792568067088723,-0.019453605636954308;2.882307448270893e-10,-0.0000038877242332091555,0.00014542661665473133,0.009126965887844563;4.619411697603937e-7,0.07434491068124771,-0.017230553552508354,-0.002700833138078451;-0.044024623930454254,0.000002949509052996291,-0.00011087518214480951,0.0002846411953214556
;-87.62152099609375;-4.704589855464292e-7,-2.604358861901801e-8,0.00007792297401465476,-0.019453609362244606;2.8823093911611863e-10,-0.000003887556886184029,0.0001453596487408504,0.00912353117018938;4.6176634782568726e-7,0.07434489578008652,-0.017230557277798653,-0.0027008287142962217;-0.044020697474479675,0.0000029484178867278388,-0.00011087847087765113,0.00028504125657491386
;-87.62153625488281;-4.7045961082403664e-7,-2.6043624146154798e-8,0.00007792026008246467,-0.019453614950180054;2.8823113340514794e-10,-0.000003887390448653605,0.00014529269537888467,0.009120097383856773;4.615917532646563e-7,0.07434489578008652,-0.01723056100308895,-0.0027008268516510725;-0.044016819447278976,0.0000029473264930857113,-0.00011088178143836558,0.00028541364008560777
;-87.62155151367188;-4.7046026452335354e-7,-2.6043661449648425e-8,0.00007791756797814742,-0.019453616812825203;2.8823146647205533e-10,-0.0000038872235563758295,0.00014522577112074941,0.009116661734879017;4.614172155470442e-7,0.07434489578008652,-0.01723056472837925,-0.002700822427868843;-0.0440128929913044,0.0000029462350994435837,-0.00011088504106737673,0.00028582490631379187
;-87.62157440185547;-4.704609750660893e-7,-2.6043696976785213e-8,0.00007791485404595733,-0.01945362240076065;2.88231633005509e-10,-0.000003887056209350703,0.00014515883231069893,0.00911322794854641;4.612423367689189e-7,0.07434485852718353,-0.0172305665910244,-0.002700818469747901;-0.04400896653532982,0.0000029451437058014562,-0.00011088833707617596,0.0002862103283405304
;-87.62158966064453;-4.704616287654062e-7,-2.604373428027884e-8,0.00007791215466568246,-0.01945362612605095;2.882317717833871e-10,-0.000003886892500304384,0.0001450644776923582,0.009108077734708786;4.6098037387309887e-7,0.07434485852718353,-0.017230568453669548,-0.002700809622183442;-0.044004958122968674,0.00000294349638352287,-0.0001108914366341196,0.0002849730371963233
;-87.6216049194336;-4.7046222562130424e-7,-2.604376803105879e-8,0.00007790944073349237,-0.0194536279886961;2.8823204933914326e-10,-0.000003886725153279258,0.00014499755343422294,0.00910464208573103;4.6080575089035847e-7,0.07434483617544174,-0.017230572178959846,-0.00270080822519958;-0.04400108382105827,0.000002942404762507067,-0.0001108947180910036,0.0002853134647011757
;-87.62162017822266;-4.704628224772023e-7,-2.60438000054819e-8,0.00007790674135321751,-0.019453633576631546;2.8823224362817257e-10,-0.0000038865587157488335,0.00014493065827991813,0.009101209230720997;4.606309005339426e-7,0.07434482127428055,-0.017230575904250145,-0.0027008038014173508;-0.0439971499145031,0.000002941313141491264,-0.00011089802137576044,0.0002857268846128136
;-87.62164306640625;-4.704634761765192e-7,-2.6043835532618687e-8,0.00007790404197294265,-0.019453635439276695;2.8823241016162626e-10,-0.000003886391368723707,0.00014486377767752856,0.009097774513065815;4.6045630597291165e-7,0.07434483617544174,-0.017230575904250145,-0.002700798911973834;-0.0439932644367218,0.0000029402217478491366,-0.00011090124462498352,0.00028611946618184447
;-87.62165832519531;-4.7046418671925494e-7,-2.6043874612469153e-8,0.00007790134259266779,-0.019453641027212143;2.8823260445065557e-10,-0.000003886228114424739,0.00014476948126684874,0.009092622436583042;4.601945988724765e-7,0.07434480637311935,-0.017230581492185593,-0.0027007905300706625;-0.04398934915661812,0.000002938574198196875,-0.00011090440239058807,0.00028475397266447544
;-87.62167358398438;-4.7046484041857184e-7,-2.604391369231962e-8,0.00007789865048835054,-0.01945364475250244;2.8823288200641173e-10,-0.000003886060767399613,0.00014470258611254394,0.009089186787605286;4.600200611548644e-7,0.07434482127428055,-0.017230583354830742,-0.0027007877361029387;-0.04398545250296593,0.000002937482577181072,-0.00011090761836385354,0.00028515589656308293
;-87.62168884277344;-4.7046549411788874e-7,-2.604394566674273e-8,0.00007789595110807568,-0.01945364847779274;2.882329930287142e-10,-0.000003885894329869188,0.00014463574916590005,0.009085753001272678;4.598451823767391e-7,0.07434479147195816,-0.01723058708012104,-0.002700783545151353;-0.043981511145830154,0.000002936390956165269,-0.00011091092164861038,0.000285558111499995
