voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.60185241699219;-4.7553680815326516e-7,-2.6325926327785965e-8,0.00007895383168943226,-0.019449284300208092;2.915379604395696e-10,-0.0000035798584576696157,0.0002018667000811547,0.013001437298953533;6.595676609322254e-7,0.07198123633861542,-0.01722753420472145,-0.0027174188289791346;-0.045585207641124725,0.000004232355422573164,-0.00011296993034193292,0.0002848560980055481
;-87.60186767578125;-4.755374050091632e-7,-2.6325960078565913e-8,0.00007895144517533481,-0.01944928802549839;2.915381547285989e-10,-0.000003579706799428095,0.0002017964725382626,0.012998010031878948;6.593922989850398e-7,0.07198122888803482,-0.01722753793001175,-0.002717413939535618;-0.04558173939585686,0.000004231265393173089,-0.00011297273158561438,0.0002848168951459229
;-87.60188293457031;-4.755378597565141e-7,-2.6325984947561665e-8,0.00007894905866123736,-0.01944929175078869;2.9153821023975013e-10,-0.0000035795555959339254,0.00020172631775494665,0.012994582764804363;6.59217448628624e-7,0.07198120653629303,-0.0172275397926569,-0.0027174109127372503;-0.04557821527123451,0.000004230175363773014,-0.00011297553282929584,0.0002848130534403026
;-87.60189819335938;-4.755384281907027e-7,-2.6326013369271095e-8,0.00007894667214713991,-0.01944929175078869;2.9153846003993067e-10,-0.00000357940416506608,0.00020165609021205455,0.012991158291697502;6.590425414287893e-7,0.07198124378919601,-0.0172275397926569,-0.0027174053248018026;-0.04557466134428978,0.0000042290853343729395,-0.00011297829769318923,0.0002849132288247347
;-87.60191345214844;-4.7553902504660073e-7,-2.6326047120051044e-8,0.00007894429290900007,-0.019449295476078987;2.9153862657338436e-10,-0.000003579252734198235,0.00020158594998065382,0.012987730093300343;6.588676910723734e-7,0.07198123633861542,-0.017227543517947197,-0.0027174006681889296;-0.045571066439151764,0.000004227995304972865,-0.00011298108438495547,0.0002849932643584907
;-87.6019287109375;-4.7553962190249877e-7,-2.6326082647187832e-8,0.00007894191367086023,-0.019449301064014435;2.9153882086241367e-10,-0.0000035791017580777407,0.00020151573698967695,0.01298430748283863;6.586923859686067e-7,0.07198123633861542,-0.017227547243237495,-0.0027173974085599184;-0.045567527413368225,0.000004226905730320141,-0.00011298387835267931,0.000285038142465055
;-87.60194396972656;-4.7554016191497794e-7,-2.6326111068897262e-8,0.00007893954170867801,-0.019449302926659584;2.915390429070186e-10,-0.00000357895009983622,0.00020144559675827622,0.012980880215764046;6.585174219253531e-7,0.07198123633861542,-0.017227549105882645,-0.0027173925191164017;-0.04556404426693916,0.000004225816155667417,-0.00011298660683678463,0.00028501200722530484
;-87.60195922851562;-4.755407871925854e-7,-2.632614304332037e-8,0.00007893716974649578,-0.019449308514595032;2.915392371960479e-10,-0.0000035787991237157257,0.00020137542742304504,0.012977453880012035;6.583426284123561e-7,0.07198119163513184,-0.017227554693818092,-0.0027173871640115976;-0.04556053876876831,0.000004224726126267342,-0.00011298940080450848,0.0002849693992175162
;-87.60197448730469;-4.755413272050646e-7,-2.632617679410032e-8,0.00007893479778431356,-0.01944931037724018;2.91539375973926e-10,-0.0000035786476928478805,0.00020130530174355954,0.01297402661293745;6.581676643691026e-7,0.07198119163513184,-0.01722755655646324,-0.002717383671551943;-0.04555702954530716,0.000004223635642119916,-0.00011299215111648664,0.0002849820302799344
;-87.60198974609375;-4.7554186721754377e-7,-2.632620699216659e-8,0.00007893241854617372,-0.01944931223988533;2.9153945924065283e-10,-0.0000035784964893537108,0.0002012352051679045,0.01297060213983059;6.579924161087547e-7,0.07198118418455124,-0.01722755841910839,-0.002717378083616495;-0.04555347189307213,0.000004222545612719841,-0.00011299493053229526,0.0002850340970326215
